Day,1001,1002,1003,1004,1006,1007,1008,1201,1204,1205,1206,1207,1213,1701,2301,1507,1511,1512,1513,1514,2710,3826,2501,2503,2519,2520,2521,2522,2523,2508,2509,2510,2511,2818,7501,2505,2506,2513,2517,2518,2528,2529,2530,2601,2602,2603,2604,2606,2607,2608,2614,2618,2620,2701,2702,2703,2803,7201,7202,7203,2713,2815,3101,4401,4403,4407,4701,4702,4703,4704,4705,4706,4707,7204,7206,7207,7208,7209,7210,7211,7212,7213,7214,7215,7216,7217,7218,7219,7220,7221,7222,7223,7224,7225,7226,7227,7228,7229,7301,7404,7601,7602,7777
1,50952,50952,50952,50952,50952,50952,50952,50952,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648,33648
2,30819,30819,30819,30819,30819,30819,30819,30819,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299,54299
3,39012,39012,39012,39012,39012,39012,39012,39012,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024,38024
4,37314,37314,37314,37314,37314,37314,37314,37314,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572,34572
5,54132,54132,54132,54132,54132,54132,54132,54132,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358,33358
6,52174,54270,59234,47870,32848,49349,43825,31041,30976,33070,37164,37623,46559,49726,30869,48390,36515,53462,51295,52981,47856,43746,37223,44719,49309,39115,56523,58485,30212,54864,56405,35231,52876,43848,41149,39105,35094,37055,55018,41029,33349,33039,42449,33169,41763,57770,41270,49782,38667,56447,31423,53911,45054,47571,34090,42403,32582,48089,39606,57177,50599,50267,59014,58236,41850,48918,36300,53087,32279,31501,51668,37467,55331,39482,32614,58027,37628,58392,33309,42455,39108,44857,50830,57332,41954,35329,42130,41641,36865,51960,38748,52997,52398,51234,32339,49960,50806,35607,47502,53892,38021,35354,45147
7,42433,38845,50971,52549,48250,37196,52433,40626,57618,55176,55427,31832,37505,56928,31051,56379,40336,43145,38773,32168,36913,59921,48585,58716,53524,40311,36967,51477,46358,42964,58989,59967,51064,45035,34681,38679,34575,38081,54411,48394,47661,38609,54478,49155,44038,59419,49121,43087,41861,37186,34532,46696,46171,32978,54765,31543,58216,33592,35008,50560,35242,55954,52298,43833,49543,32081,42608,42504,49526,45337,47338,38238,48128,58206,30376,52291,53616,33753,52338,58992,47595,54604,38743,55185,51003,41146,33655,39617,44246,35182,44867,30106,53661,58699,53582,38630,46403,54967,35854,46635,59904,33486,58525
8,50489,39779,57579,50937,46635,49954,36517,35008,42252,54985,35293,47674,55514,47378,30018,49626,40621,46010,30638,33665,41894,58793,57252,56436,40076,37846,31898,37892,58770,48591,32580,32806,53983,45924,56739,32267,54923,47455,55094,34120,34207,51618,45574,48015,35410,38685,47290,58587,49876,43865,36940,47671,54748,53918,52605,36591,53361,40214,43074,52009,51295,42236,44355,59478,46959,44794,33965,38123,37362,32098,41078,30689,49277,48150,37540,49282,37216,30235,32326,53194,50679,31929,37501,32208,59668,31029,58168,40827,32321,46847,37798,39125,51921,45906,37020,47669,34335,53702,58913,48711,48881,45488,37962
9,55710,45498,56460,43338,36239,33090,33176,51593,44124,41609,43879,43470,45303,58306,53890,31775,52064,51412,51174,33224,31986,43193,53862,41118,56233,58235,33580,38147,36278,36232,47573,44700,34593,43824,36012,39127,45159,38185,58655,32470,44520,56477,58224,58048,48033,33208,31657,51369,47713,57394,30483,33056,54692,57810,37745,35449,43317,45913,45773,37004,58332,43141,59571,31921,35394,42418,30070,42793,38690,55692,55727,44909,39347,43861,52825,53937,55669,48211,51688,53540,45947,35072,36222,39722,37133,31916,48978,54108,47766,31997,54509,40276,31873,31643,49142,45623,46477,57941,47403,35158,31863,46640,32625
10,57896,36089,32245,49498,32226,52125,58240,37707,43230,33928,59172,48667,38067,48970,49481,31302,50295,32686,43737,51540,49125,48521,47130,40366,38544,36693,51945,53468,40295,37821,38703,42969,34288,52009,51151,39830,44982,40360,54637,32377,30305,45017,50354,48448,33276,32400,47617,36984,46576,38690,34340,41436,58864,32254,58811,38004,42108,39338,35169,44358,57320,47800,53053,39912,50043,56447,51429,47332,30256,51884,56774,48173,39810,51737,33394,58774,34400,38666,33782,59154,33507,54327,48128,35093,38924,39232,49819,36901,53514,41235,36671,52527,50782,57948,38650,46561,46008,38228,59666,59758,57725,31664,33024
11,50784,43879,57176,39066,31444,30116,40929,55268,34286,50876,38583,35294,54288,44478,48077,53123,44014,48379,30316,33665,32465,58937,52643,59619,34884,47877,31180,57348,42098,49087,48105,34852,44083,34176,31370,40101,41948,59457,56087,58203,31307,59455,41724,36883,52349,38176,51854,33368,41589,55562,48346,58971,58662,43316,50337,54558,35064,37757,58331,35324,56210,56567,35801,58882,43510,30812,35877,54135,40885,55637,43491,56287,51951,58313,54086,56566,38131,38742,35216,55800,52979,33542,42535,58579,31268,58134,45423,37288,36539,56757,45083,41457,40000,56887,56061,58551,37457,37304,30775,51627,36328,43056,40756
12,39129,58323,32274,55340,39146,41506,51020,46692,43096,52266,57645,47570,40851,30904,33779,58738,38559,35851,49024,38698,31253,33552,49548,44239,41327,53872,55769,40278,44299,49864,46758,33789,42622,59474,48893,36228,38346,31454,53225,44288,30055,47036,56427,47643,52506,53574,54312,54151,51975,36456,41934,44132,32292,51765,40819,50419,40286,51737,57787,34083,53584,59492,39840,46617,40134,51852,43382,40688,43185,52846,39688,48166,34170,36286,43777,51788,42423,52194,54514,59583,35702,50169,48648,39861,43306,47954,57319,30013,39957,39401,36887,44086,55747,49004,49879,51453,40559,45236,44476,44488,52138,37002,46750
13,45505,56009,59529,56084,54115,35560,51589,32778,39299,46890,51753,50740,50291,40983,33060,56818,54613,37696,52046,40171,37361,56429,36525,34828,30800,31514,38023,45569,50030,57844,55181,32386,44923,43580,59036,50636,48863,36371,53538,52818,42582,46199,43095,37994,34835,51497,52532,30181,59250,54607,58194,55232,59014,33492,55507,43931,37170,35763,56349,52803,46972,45222,31645,48265,38165,57798,33976,44957,34369,56260,45225,51875,47404,48314,49511,40397,54748,59210,44502,50075,56706,53569,59229,46540,43983,57216,59715,47952,44611,59399,35215,54368,58229,45554,44747,38493,54634,38101,57520,50894,39086,55094,55482
14,47081,45879,50537,37839,38998,44413,32538,53381,39362,37683,38903,41005,40476,59262,47699,32640,34534,34942,37577,42551,52739,35007,53147,37010,32104,43594,43356,40842,47780,45267,43624,32040,36777,57292,43767,42762,59649,55224,49139,52790,30640,58073,58857,55087,48864,42464,45629,30193,41526,39784,54689,42779,57965,59217,57385,43730,47636,54494,54072,47895,56210,49767,59419,37226,45998,37190,38943,44281,45913,30951,42742,41014,51917,52254,56153,43248,53729,35408,57541,45315,34182,50390,47502,30883,59718,42911,49395,48493,51725,30888,32750,51061,44044,34446,58404,45128,35954,31647,38524,42422,40726,36935,44899
15,40710,41059,54943,58824,42423,39117,54641,57260,43813,38266,57358,32683,45411,30635,54544,47675,31706,41467,37347,51303,32248,55599,51356,31319,54714,31016,38102,36532,57499,30667,50359,34993,37816,34136,45517,51936,33748,48480,37142,45238,52920,38396,55129,42087,35498,49853,49898,54508,53539,33753,55486,56846,35366,40192,33542,48962,30841,40222,48867,52195,59754,42298,42997,53429,36498,32490,49401,52630,57216,50553,37957,33339,52845,55312,39882,57862,52421,49674,56395,33966,56090,48544,55645,31345,41377,47456,44037,51676,42142,32259,46579,51218,41181,30414,57838,43764,56946,46062,33458,44205,41868,50826,59215
